City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Clyde,US,41.3042,-82.9752,40.55,82,57,10.13,broken clouds
187,Zhangjiakou,CN,40.81,114.8794,63.09,14,0,3.62,clear sky
188,Deder,ET,9.3167,41.45,66.78,41,6,3.65,clear sky
189,Rocha,UY,-34.4833,-54.3333,56.28,93,100,2.26,overcast clouds
190,Guerrero Negro,MX,27.9769,-114.0611,58.86,88,51,15.75,broken clouds
191,Kalmunai,LK,7.4167,81.8167,86.7,66,58,1.5,broken clouds
192,Senanga,ZM,-16.1167,23.2667,65.01,92,72,4.74,broken clouds
193,Bambous Virieux,MU,-20.3428,57.7575,79.21,100,40,5.75,light rain
194,Beringovskiy,RU,63.05,179.3167,31.48,96,100,5.28,overcast clouds
195,Sorland,NO,67.667,12.6934,42.1,96,100,17.29,overcast clouds
196,Cherskiy,RU,68.75,161.3,16.9,87,100,5.21,overcast clouds
197,Atasu,KZ,48.6814,71.6433,66.51,16,100,6.02,overcast clouds
198,Yar-Sale,RU,66.8333,70.8333,21.34,85,99,12.39,overcast clouds
199,Mahebourg,MU,-20.4081,57.7,79.25,100,40,5.75,scattered clouds
200,Krasnoselkup,RU,65.7,82.4667,20.64,83,100,16.06,overcast clouds
201,Mumbwa,ZM,-14.9783,27.0619,61.63,91,6,3.53,clear sky
202,Bardsir,IR,29.9227,56.5743,54.48,45,0,6.71,clear sky
203,Hambantota,LK,6.1241,81.1185,86.34,84,20,9.22,few clouds
204,Payson,US,40.0444,-111.7321,52.27,55,0,10.36,clear sky
205,Telimele,GN,10.9167,-13.3333,68.83,84,92,3.31,overcast clouds
206,Pangai,TO,-19.8,-174.35,84.31,74,75,5.75,broken clouds
207,Elko,US,41.0002,-115.5012,47.64,34,43,8.99,scattered clouds
208,Ayan,RU,56.45,138.1667,30.56,92,52,10.94,broken clouds
209,Mogadishu,SO,2.0371,45.3438,83.95,77,96,8.55,light rain
210,Flin Flon,CA,54.7682,-101.865,19.62,95,87,2.75,overcast clouds
211,Hami,CN,42.8,93.45,67.14,10,0,4.23,clear sky
212,Moron,AR,-34.6534,-58.6198,65.95,81,100,5.7,overcast clouds
213,Faya,SA,18.3851,42.4509,66.31,27,8,6.35,clear sky
214,Harrisonburg,US,38.4496,-78.8689,42.8,62,0,0.0,clear sky
215,Baiao,BR,-2.7906,-49.6717,72.91,99,100,2.01,overcast clouds
216,Varhaug,NO,58.6147,5.6457,43.68,66,22,13.33,few clouds
217,Bonthe,SL,7.5264,-12.505,76.35,79,98,4.79,overcast clouds
218,Khatanga,RU,71.9667,102.5,11.97,88,97,16.58,overcast clouds
219,Trairi,BR,-3.2778,-39.2689,76.33,88,72,2.86,broken clouds
220,Allapalli,IN,19.4167,80.0667,101.08,29,10,5.28,clear sky
221,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,5.75,light snow
222,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,17.27,scattered clouds
223,Marsaxlokk,MT,35.8419,14.5431,58.08,88,100,16.11,overcast clouds
224,Kanigoro,ID,-8.13,112.219,86.22,70,50,1.39,scattered clouds
225,Edson,CA,53.5835,-116.4356,33.94,55,100,4.61,overcast clouds
226,Klaksvik,FO,62.2266,-6.589,45.52,91,100,25.99,overcast clouds
227,Avera,US,33.194,-82.5271,67.51,97,99,0.94,overcast clouds
228,Salalah,OM,17.0151,54.0924,82.49,83,40,2.3,scattered clouds
229,Miragoane,HT,18.4423,-73.0876,77.9,70,99,5.79,overcast clouds
230,Prince Rupert,CA,54.3161,-130.3201,44.29,70,0,9.22,clear sky
231,Koungou,YT,-12.7336,45.2042,80.31,89,20,5.75,few clouds
232,Aksha,RU,50.2814,113.2867,67.08,21,100,15.14,overcast clouds
233,Ola,RU,59.5833,151.2833,27.55,74,100,4.16,overcast clouds
234,Palmerston,AU,-12.486,130.9833,95.04,63,40,9.22,scattered clouds
235,Show Low,US,34.2542,-110.0298,59.14,25,0,0.0,clear sky
236,Namatanai,PG,-3.6667,152.4333,85.5,64,86,11.21,overcast clouds
237,Kamennomostskiy,RU,44.2983,40.1856,63.73,44,100,2.98,overcast clouds
238,Poitiers,FR,46.5833,0.3333,48.61,66,0,8.05,clear sky
239,Saint-Pierre,RE,-21.3393,55.4781,79.29,74,20,4.61,few clouds
240,Peniche,PT,39.3558,-9.3811,58.28,89,73,25.34,broken clouds
241,Belaya Gora,RU,68.5333,146.4167,24.33,78,100,4.32,overcast clouds
242,Sitka,US,57.0531,-135.33,44.49,53,75,0.0,broken clouds
243,Marsa Matruh,EG,31.3525,27.2453,61.0,82,92,11.5,overcast clouds
244,Kozyatyn,UA,49.7143,28.8339,32.52,74,22,10.27,few clouds
245,Nanortalik,GL,60.1432,-45.2371,28.49,88,36,9.46,scattered clouds
246,Carnarvon,AU,-24.8667,113.6333,77.07,61,93,11.5,overcast clouds
247,Chapais,CA,49.7834,-74.8492,24.58,95,61,7.31,broken clouds
248,Waipawa,NZ,-41.4122,175.5153,56.79,76,50,11.81,scattered clouds
249,Ilulissat,GL,69.2167,-51.1,10.42,72,20,4.61,few clouds
250,Beaupre,CA,47.0443,-70.8953,36.41,60,44,6.91,scattered clouds
251,Alofi,NU,-19.0595,-169.9187,82.29,74,40,9.22,scattered clouds
252,Northampton,US,40.8754,-75.2499,34.84,69,0,2.82,clear sky
253,Kayes,ML,14.0,-11.0,91.0,11,82,14.27,broken clouds
254,Daru,PG,-9.0763,143.2092,83.39,76,79,5.7,broken clouds
255,Maria Chiquita,PA,9.4431,-79.7558,81.3,85,98,5.97,overcast clouds
256,Natal,BR,-5.795,-35.2094,79.02,94,20,3.44,few clouds
